Buchungsdatum;Werk;Materialnummer;Materialgruppe;Bezeichnung;Menge;Einheit;Kostenstelle;Lieferant;Belegdatum;Betrag EUR
09.01.2024;DE01;100000043;FUEL_NATGAS;Erdgas;936,069;L;CC-DE01-01;SHELL AG;09.01.2024;3988,94
11.03.2024;DE02;100000043;FUEL_NATGAS;Erdgas;746,001;L;CC-DE02-01;SHELL AG;11.03.2024;4427,89
08.02.2024;IN01;100000043;FUEL_NATGAS;Erdgas;262,105;L;CC-IN01-01;SHELL AG;08.02.2024;1627,60
01.04.2024;IN01;100000042;FUEL_DIESEL;Dieselkraftstoff;935,802;M3;CC-IN01-01;SHELL AG;01.04.2024;3531,07
25.02.2024;DE01;100000043;FUEL_NATGAS;Erdgas;1987,825;L;CC-DE01-01;SHELL AG;25.02.2024;1235,61
32.13.2024;DE02;100000042;FUEL_DIESEL;Dieselkraftstoff;142,310;L;CC-DE02-01;SHELL AG;32.13.2024;4782,13
06.01.2024;DE02;100000043;FUEL_NATGAS;Erdgas;143,889;M3;CC-DE02-01;SHELL AG;06.01.2024;2822,52
16.03.2024;DE02;200000011;PROC_CHEMICALS;Chemikalien;1689,100;L;CC-DE02-01;SHELL AG;16.03.2024;3875,10
12.02.2024;DE02;100000043;FUEL_NATGAS;Erdgas;1683,283;L;CC-DE02-01;SHELL AG;12.02.2024;3329,73
23.02.2024;IN01;100000043;FUEL_NATGAS;Erdgas;639,277;L;CC-IN01-01;SHELL AG;23.02.2024;1234,84
10.03.2024;UNKNOWN;100000042;FUEL_DIESEL;Dieselkraftstoff;748,167;L;CC-UNKNOWN-01;SHELL AG;10.03.2024;1777,70
29.01.2024;UNKNOWN;200000011;PROC_CHEMICALS;Chemikalien;1002,290;L;CC-UNKNOWN-01;SHELL AG;29.01.2024;3740,20
24.01.2024;UNKNOWN;100000042;FUEL_DIESEL;Dieselkraftstoff;991,169;L;CC-UNKNOWN-01;SHELL AG;24.01.2024;3081,93
27.01.2024;IN01;200000011;PROC_CHEMICALS;Chemikalien;1813,331;L;CC-IN01-01;SHELL AG;27.01.2024;4759,93
05.04.2024;DE01;100000043;FUEL_NATGAS;Erdgas;1890,199;KG;CC-DE01-01;SHELL AG;05.04.2024;1331,45
08.02.2024;DE02;200000011;PROC_CHEMICALS;Chemikalien;1287,685;KG;CC-DE02-01;SHELL AG;08.02.2024;3349,60
17.01.2024;DE01;100000043;FUEL_NATGAS;Erdgas;1007,366;KG;CC-DE01-01;SHELL AG;17.01.2024;3642,23
17.02.2024;DE01;100000043;FUEL_NATGAS;Erdgas;1000,681;M3;CC-DE01-01;SHELL AG;17.02.2024;3087,53
08.04.2024;IN01;100000043;FUEL_NATGAS;Erdgas;300,728;L;CC-IN01-01;SHELL AG;08.04.2024;3145,50
26.01.2024;DE02;200000011;PROC_CHEMICALS;Chemikalien;1530,152;KG;CC-DE02-01;SHELL AG;26.01.2024;1276,67
28.01.2024;DE02;200000011;PROC_CHEMICALS;Chemikalien;415,880;GAL;CC-DE02-01;SHELL AG;28.01.2024;1713,99
27.01.2024;IN01;100000043;FUEL_NATGAS;Erdgas;1161,599;KG;CC-IN01-01;SHELL AG;27.01.2024;1303,41
06.04.2024;DE02;100000042;FUEL_DIESEL;Dieselkraftstoff;857,893;KG;CC-DE02-01;SHELL AG;06.04.2024;2169,54
12.03.2024;DE01;100000043;FUEL_NATGAS;Erdgas;410,680;KG;CC-DE01-01;SHELL AG;12.03.2024;1755,68
13.01.2024;DE02;100000043;FUEL_NATGAS;Erdgas;460,304;M3;CC-DE02-01;SHELL AG;13.01.2024;4252,29
04.03.2024;DE01;200000011;PROC_CHEMICALS;Chemikalien;1742,573;KG;CC-DE01-01;SHELL AG;04.03.2024;1681,23
04.02.2024;DE01;200000011;PROC_CHEMICALS;Chemikalien;1964,990;M3;CC-DE01-01;SHELL AG;04.02.2024;4219,10
27.02.2024;IN01;100000042;FUEL_DIESEL;Dieselkraftstoff;515,280;L;CC-IN01-01;SHELL AG;27.02.2024;4081,81
18.02.2024;DE02;100000042;FUEL_DIESEL;Dieselkraftstoff;1333,278;L;CC-DE02-01;SHELL AG;18.02.2024;2757,61
15.01.2024;DE02;200000011;PROC_CHEMICALS;Chemikalien;479,162;L;CC-DE02-01;SHELL AG;15.01.2024;3528,09
09.03.2024;IN01;200000011;PROC_CHEMICALS;Chemikalien;131,063;KG;CC-IN01-01;SHELL AG;09.03.2024;3454,01
06.01.2024;DE02;100000043;FUEL_NATGAS;Erdgas;655,162;L;CC-DE02-01;SHELL AG;06.01.2024;4394,53
09.01.2024;DE01;100000042;FUEL_DIESEL;Dieselkraftstoff;339,750;KG;CC-DE01-01;SHELL AG;09.01.2024;1327,52
17.02.2024;DE01;200000011;PROC_CHEMICALS;Chemikalien;170,703;L;CC-DE01-01;SHELL AG;17.02.2024;1814,67
06.03.2024;DE01;100000043;FUEL_NATGAS;Erdgas;1955,292;L;CC-DE01-01;SHELL AG;06.03.2024;1990,21
11.02.2024;DE01;100000042;FUEL_DIESEL;Dieselkraftstoff;1389,647;L;CC-DE01-01;SHELL AG;11.02.2024;2051,10
13.01.2024;DE02;100000042;FUEL_DIESEL;Dieselkraftstoff;1415,486;M3;CC-DE02-01;SHELL AG;13.01.2024;3865,76
07.02.2024;IN01;100000042;FUEL_DIESEL;Dieselkraftstoff;1928,289;L;CC-IN01-01;SHELL AG;07.02.2024;4625,78
03.04.2024;IN01;100000043;FUEL_NATGAS;Erdgas;861,991;L;CC-IN01-01;SHELL AG;03.04.2024;2236,57
07.01.2024;DE01;100000042;FUEL_DIESEL;Dieselkraftstoff;584,502;M3;CC-DE01-01;SHELL AG;07.01.2024;1213,79
15.03.2024;DE01;100000042;FUEL_DIESEL;Dieselkraftstoff;5295,503;KG;CC-DE01-01;SHELL AG;15.03.2024;3213,12
15.03.2024;DE01;100000042;FUEL_DIESEL;Dieselkraftstoff;6688,758;KG;CC-DE01-01;SHELL AG;15.03.2024;2383,99
15.03.2024;DE01;100000042;FUEL_DIESEL;Dieselkraftstoff;9265,694;L;CC-DE01-01;SHELL AG;15.03.2024;2613,14
15.03.2024;DE01;100000042;FUEL_DIESEL;Dieselkraftstoff;6119,602;M3;CC-DE01-01;SHELL AG;15.03.2024;2415,37
15.03.2024;DE01;100000042;FUEL_DIESEL;Dieselkraftstoff;9496,172;L;CC-DE01-01;SHELL AG;15.03.2024;2221,80
27.03.2024;DE02;100000043;FUEL_NATGAS;Erdgas;764,299;KG;CC-DE02-01;SHELL AG;27.03.2024;1171,59
23.03.2024;DE01;100000043;FUEL_NATGAS;Erdgas;177,806;M3;CC-DE01-01;SHELL AG;23.03.2024;1433,65
25.01.2024;DE01;100000043;FUEL_NATGAS;Erdgas;821,887;M3;CC-DE01-01;SHELL AG;25.01.2024;3187,35
26.02.2024;IN01;200000011;PROC_CHEMICALS;Chemikalien;497,755;KG;CC-IN01-01;SHELL AG;26.02.2024;4130,02
08.02.2024;DE01;100000043;FUEL_NATGAS;Erdgas;338,482;KG;CC-DE01-01;SHELL AG;08.02.2024;4916,15
